"Bevolkingsontwikkeling; maand en jaar"
""
"";"Onderwerp"
"";"Bevolking aan het begin van de periode"
"Perioden";"aantal"
"2014";"16829289"
"2015";"16900726"
"2016";"16979120"
"2017";"17081507"
"2018";"17181084"
"2019";"17282163"
"2020";"17407585"
"2021";"17475415"
"2022";"17590672"
"2023";"17811291"
"2024";"17942942"
"Bron: CBS"
