"Uur";"Series 1"
0;15,1118320610687
1;1,545038167938931
2;0,7015267175572519
3;0,8603053435114504
4;2,151145038167939
5;18,03969465648855
6;93,56488549618321
7;282,4030534351145
8;354,2259541984733
9;217,4381679389313
10;177,6137404580153
11;187,0259541984733
12;229,568320610687
13;226,5862595419847
14;256,0583969465649
15;295,8179389312977
16;333,563358778626
17;345,592748091603
18;213,9835877862595
19;129,1225190839695
20;99,08396946564885
21;88,87442748091603
22;81,17862595419848
23;57,80343511450381
