"Uur";"Series 1"
0;7,093103448275862
1;0,6854406130268199
2;0,2647509578544061
3;0,3287356321839081
4;1,117624521072797
5;12,29731800766283
6;60,39693486590038
7;163,5164750957854
8;191,7088122605364
9;125,427969348659
10;110,4386973180077
11;122,7298850574713
12;149,7712643678161
13;150,9636015325671
14;165,7946360153257
15;185,0666666666667
16;196,0149425287356
17;193,3490421455939
18;121,5264367816092
19;72,61302681992338
20;57,2551724137931
21;44,13754789272031
22;35,15862068965517
23;24,20842911877395
