"Mobility trend; per stage, modes of travel, purposes of travel, age and sex"
"Sex: Total male and female"
"Margins: Value"
"";"";""
"";"";"Modes of travel";"Total";"Total";"Total";"Car as driver";"Car as driver";"Car as driver";"Car as passenger";"Car as passenger";"Car as passenger";"Train";"Train";"Train";"Bus/metro";"Bus/metro";"Bus/metro";"Bike";"Bike";"Bike";"Walking";"Walking";"Walking";"Other";"Other";"Other"
"2016*";"Total";"Attending education/courses";"0.29";"7.30";"18.55";"0.02";"25.55";"32.48";"0.03";"8.57";"16.97";"0.02";"38.94";"41.77";"0.03";"10.60";"27.32";"0.14";"3.21";"16.55";"0.06";"0.66";"8.53";"0.01";"12.76";"29.19"
"2016*";"Total";"Leisure";"1.06";"13.14";"32.59";"0.26";"21.39";"29.30";"0.18";"24.15";"32.41";"0.02";"64.03";"64.61";"0.03";"9.13";"28.93";"0.27";"5.03";"30.60";"0.27";"2.24";"34.50";"0.03";"18.21";"46.79"
"2016*";"Total";"Other";"0.43";"11.89";"19.66";"0.20";"16.05";"22.02";"0.04";"18.74";"25.53";"0.01";"61.50";"58.12";"0.01";"7.43";"25.06";"0.09";"2.24";"12.56";"0.06";"0.77";"10.14";"0.01";"18.55";"29.04"
"2017*";"Total";"Total";"2.95";"11.50";"24.12";"0.93";"18.30";"24.98";"0.33";"19.63";"27.50";"0.08";"48.17";"49.25";"0.12";"8.87";"26.15";"0.81";"3.61";"19.94";"0.58";"1.47";"21.50";"0.10";"17.49";"31.90"
"2017*";"Total";"Travel to/from work, (non)-daily commute";"0.62";"16.11";"25.10";"0.26";"24.53";"30.39";"0.02";"21.47";"29.30";"0.03";"40.93";"42.25";"0.04";"8.65";"24.71";"0.16";"3.98";"18.09";"0.07";"0.82";"10.29";"0.04";"22.27";"30.28"
"2017*";"Total";"Shopping, groceries, funshopping.";"0.59";"5.22";"14.34";"0.20";"7.71";"14.80";"0.07";"11.35";"19.24";"0.00";"42.39";"46.62";"0.01";"6.88";"23.80";"0.17";"2.05";"11.86";"0.13";"0.83";"12.00";"0.01";"5.25";"15.18"
"2017*";"Total";"Attending education/courses";"0.28";"7.32";"18.75";"0.02";"26.03";"32.95";"0.02";"8.45";"16.76";"0.02";"38.76";"41.56";"0.03";"10.29";"27.17";"0.13";"3.24";"16.75";"0.06";"0.70";"9.05";"0.01";"13.29";"29.39"
"2017*";"Total";"Leisure";"1.03";"13.28";"32.46";"0.26";"21.45";"29.24";"0.18";"24.20";"32.28";"0.02";"63.88";"64.10";"0.03";"9.29";"28.61";"0.26";"5.05";"30.37";"0.26";"2.30";"34.71";"0.03";"16.43";"44.00"
"2017*";"Total";"Other";"0.43";"11.94";"19.63";"0.20";"16.13";"22.01";"0.04";"18.78";"25.47";"0.01";"61.37";"57.99";"0.01";"7.60";"25.16";"0.09";"2.25";"12.57";"0.06";"0.76";"10.18";"0.01";"19.27";"28.78"
"2018*";"Total";"Total";"3.04";"11.55";"24.15";"0.95";"18.58";"25.05";"0.33";"19.96";"27.55";"0.08";"48.11";"49.39";"0.12";"8.62";"26.13";"0.85";"3.65";"20.09";"0.60";"1.49";"21.35";"0.10";"18.22";"32.72"
"2018*";"Total";"Travel to/from work, (non)-daily commute";"0.64";"16.12";"24.84";"0.27";"24.81";"30.33";"0.02";"21.57";"29.10";"0.03";"40.97";"42.42";"0.04";"8.54";"24.68";"0.17";"4.00";"18.02";"0.08";"0.78";"9.51";"0.04";"22.84";"30.33"
"2018*";"Total";"Shopping, groceries, funshopping.";"0.59";"5.21";"14.30";"0.20";"7.70";"14.85";"0.07";"11.36";"19.33";"0.00";"42.39";"46.93";"0.01";"6.71";"23.90";"0.17";"2.05";"11.93";"0.13";"0.81";"11.54";"0.01";"5.32";"16.07"
"2018*";"Total";"Attending education/courses";"0.28";"7.33";"18.63";"0.02";"25.83";"33.05";"0.02";"8.28";"16.74";"0.02";"39.12";"41.79";"0.03";"10.40";"27.13";"0.13";"3.24";"16.66";"0.06";"0.67";"8.48";"0.01";"11.56";"28.00"
"2018*";"Total";"Leisure";"1.07";"13.42";"32.70";"0.26";"22.06";"29.42";"0.18";"24.83";"32.38";"0.02";"62.98";"63.80";"0.03";"8.50";"28.57";"0.28";"5.14";"30.84";"0.28";"2.34";"34.54";"0.03";"19.57";"47.59"
"2018*";"Total";"Other";"0.45";"11.55";"19.27";"0.21";"16.00";"21.87";"0.04";"18.53";"25.32";"0.01";"61.18";"57.88";"0.01";"7.26";"24.90";"0.10";"2.26";"12.47";"0.06";"0.77";"9.98";"0.01";"17.77";"27.83"
"2019*";"Total";"Total";"2.97";"11.64";"24.18";"0.94";"18.59";"25.00";"0.32";"20.12";"27.57";"0.08";"48.21";"49.51";"0.12";"8.53";"26.06";"0.82";"3.67";"20.21";"0.58";"1.49";"21.31";"0.10";"17.84";"31.94"
"2019*";"Total";"Travel to/from work, (non)-daily commute";"0.61";"16.13";"24.83";"0.25";"24.99";"30.38";"0.02";"21.43";"28.94";"0.03";"41.01";"42.46";"0.04";"8.42";"24.49";"0.16";"4.04";"18.03";"0.07";"0.79";"9.69";"0.04";"21.54";"29.36"
"2019*";"Total";"Shopping, groceries, funshopping.";"0.57";"5.36";"14.35";"0.20";"7.78";"14.86";"0.06";"11.65";"19.34";"0.00";"42.25";"46.89";"0.01";"6.56";"23.80";"0.16";"2.06";"11.91";"0.12";"0.80";"11.59";"0.01";"5.61";"15.99"
"2019*";"Total";"Attending education/courses";"0.28";"7.28";"18.58";"0.01";"26.09";"33.31";"0.02";"8.11";"16.54";"0.02";"39.06";"41.63";"0.03";"10.02";"26.89";"0.13";"3.26";"16.69";"0.06";"0.67";"8.39";"0.01";"11.64";"27.59"
"2019*";"Total";"Leisure";"1.05";"13.50";"32.59";"0.26";"22.07";"29.47";"0.18";"25.03";"32.44";"0.02";"63.31";"64.06";"0.03";"8.59";"28.53";"0.27";"5.12";"31.04";"0.27";"2.31";"33.87";"0.03";"19.79";"45.64"
"2019*";"Total";"Other";"0.45";"11.87";"19.57";"0.21";"16.31";"22.08";"0.05";"18.76";"25.47";"0.01";"60.88";"57.88";"0.01";"7.44";"25.18";"0.10";"2.29";"12.67";"0.06";"0.77";"10.05";"0.01";"17.78";"29.11"
"2020*";"Total";"Total";"2.48";"9.67";"24.46";"0.79";"16.03";"22.53";"0.25";"17.32";"25.84";"0.04";"46.06";"48.31";"0.06";"8.14";"25.79";"0.65";"3.95";"22.34";"0.61";"1.84";"26.45";"0.08";"13.59";"29.87"
"2020*";"Total";"Travel to/from work, (non)-daily commute";"0.41";"14.64";"23.17";"0.19";"22.18";"27.25";"0.01";"17.09";"25.15";"0.01";"38.44";"40.79";"0.02";"7.93";"24.08";"0.11";"4.02";"18.14";"0.04";"0.76";"9.39";"0.03";"16.38";"24.94"
"2020*";"Total";"Shopping, groceries, funshopping.";"0.57";"4.33";"12.66";"0.20";"6.70";"13.02";"0.05";"9.34";"16.82";"0.00";"38.67";"43.51";"0.01";"5.88";"22.35";"0.16";"1.99";"11.48";"0.13";"0.77";"10.67";"0.01";"4.24";"13.64"
"2020*";"Total";"Attending education/courses";"0.17";"6.73";"18.39";"0.01";"26.44";"33.54";"0.02";"7.67";"16.00";"0.01";"36.52";"40.29";"0.01";"9.98";"26.77";"0.08";"3.36";"17.22";"0.03";"0.66";"8.84";"0.01";"9.25";"25.31"
"2020*";"Total";"Leisure";"0.93";"10.99";"36.22";"0.20";"20.62";"29.53";"0.13";"22.27";"32.04";"0.01";"62.14";"63.88";"0.01";"8.39";"29.50";"0.22";"6.16";"37.77";"0.34";"2.72";"39.50";"0.02";"13.23";"47.70"
"2020*";"Total";"Other";"0.40";"10.22";"17.72";"0.19";"14.36";"19.91";"0.04";"17.01";"23.23";"0.00";"55.68";"53.95";"0.01";"6.64";"24.41";"0.09";"2.34";"12.85";"0.06";"0.74";"9.95";"0.01";"17.38";"26.22"
"2021*";"Total";"Total";"2.62";"10.00";"26.03";"0.81";"16.78";"23.57";"0.27";"19.09";"28.00";"0.04";"46.46";"49.65";"0.06";"8.72";"28.13";"0.67";"3.99";"22.86";"0.69";"1.99";"28.89";"0.09";"14.17";"32.39"
"2021*";"Total";"Travel to/from work, (non)-daily commute";"0.41";"15.18";"23.86";"0.19";"22.90";"27.96";"0.01";"18.56";"26.45";"0.01";"37.51";"40.02";"0.02";"8.63";"25.68";"0.11";"4.06";"18.40";"0.04";"0.81";"10.08";"0.03";"18.66";"27.10"
"2021*";"Total";"Shopping, groceries, funshopping.";"0.57";"4.43";"13.27";"0.20";"6.97";"13.64";"0.05";"10.08";"17.87";"0.00";"37.76";"43.50";"0.01";"6.57";"24.47";"0.15";"2.02";"11.84";"0.15";"0.81";"11.35";"0.01";"4.09";"14.61"
"2021*";"Total";"Attending education/courses";"0.17";"6.66";"18.53";"0.01";"26.89";"33.62";"0.02";"8.23";"16.75";"0.01";"34.76";"39.10";"0.02";"9.89";"28.04";"0.08";"3.34";"17.25";"0.04";"0.70";"9.23";"0.01";"10.30";"26.27"
"2021*";"Total";"Leisure";"1.03";"11.49";"38.55";"0.21";"22.18";"31.50";"0.14";"24.70";"34.93";"0.01";"61.60";"65.39";"0.02";"9.15";"32.77";"0.23";"6.14";"38.07";"0.40";"2.88";"42.30";"0.03";"14.51";"51.29"
"2021*";"Total";"Other";"0.44";"10.32";"18.40";"0.20";"14.66";"20.63";"0.04";"17.54";"24.20";"0.00";"54.07";"53.44";"0.01";"7.74";"26.44";"0.09";"2.36";"13.26";"0.07";"0.80";"10.71";"0.02";"15.13";"26.77"
"2022*";"Total";"Total";"2.86";"10.22";"24.88";"0.86";"17.22";"24.11";"0.29";"19.01";"27.72";"0.05";"47.40";"50.24";"0.08";"8.70";"27.65";"0.78";"3.82";"21.42";"0.70";"1.73";"25.43";"0.09";"15.45";"30.64"
"2022*";"Total";"Travel to/from work, (non)-daily commute";"0.48";"15.59";"24.55";"0.21";"24.08";"29.49";"0.01";"20.25";"28.04";"0.02";"40.13";"42.54";"0.02";"8.77";"26.01";"0.13";"4.17";"18.59";"0.05";"0.80";"10.21";"0.03";"20.99";"28.07"
"2022*";"Total";"Shopping, groceries, funshopping.";"0.60";"4.70";"13.61";"0.20";"7.30";"14.18";"0.06";"10.82";"18.62";"0.00";"40.03";"45.58";"0.01";"6.81";"24.67";"0.17";"2.06";"11.84";"0.14";"0.80";"11.32";"0.01";"4.48";"14.07"
"2022*";"Total";"Attending education/courses";"0.22";"7.01";"19.13";"0.01";"26.63";"34.24";"0.02";"8.49";"17.68";"0.01";"36.71";"40.98";"0.02";"9.98";"28.21";"0.10";"3.35";"17.39";"0.05";"0.70";"9.82";"0.01";"10.88";"26.78"
"2022*";"Total";"Leisure";"1.11";"11.54";"34.86";"0.23";"21.36";"29.94";"0.15";"23.97";"33.38";"0.02";"60.80";"63.67";"0.02";"8.87";"30.58";"0.27";"5.52";"33.68";"0.38";"2.51";"37.55";"0.03";"15.29";"44.99"
"2022*";"Total";"Other";"0.46";"10.18";"18.54";"0.21";"14.72";"21.13";"0.04";"17.10";"24.57";"0.01";"55.75";"55.24";"0.01";"7.40";"26.10";"0.11";"2.33";"13.01";"0.07";"0.77";"10.62";"0.02";"14.85";"25.86"
"2023*";"Total";"Total";"2.93";"10.59";"24.63";"0.90";"17.46";"24.36";"0.31";"19.27";"27.52";"0.07";"47.89";"50.51";"0.10";"8.48";"27.24";"0.78";"3.75";"20.82";"0.69";"1.65";"24.45";"0.09";"15.09";"30.05"
"2023*";"Total";"Travel to/from work, (non)-daily commute";"0.51";"15.74";"25.03";"0.22";"24.44";"30.33";"0.02";"20.47";"28.88";"0.02";"41.71";"43.74";"0.03";"8.63";"25.96";"0.14";"4.22";"18.61";"0.06";"0.81";"10.59";"0.03";"18.75";"27.38"
"2023*";"Total";"Shopping, groceries, funshopping.";"0.60";"5.01";"14.10";"0.20";"7.52";"14.61";"0.06";"11.31";"19.14";"0.00";"40.96";"46.71";"0.01";"6.64";"24.85";"0.17";"2.09";"12.00";"0.14";"0.80";"11.70";"0.01";"5.38";"15.07"
"2023*";"Total";"Attending education/courses";"0.23";"7.16";"19.41";"0.01";"26.57";"34.81";"0.02";"8.36";"18.00";"0.01";"37.89";"42.28";"0.02";"9.59";"28.06";"0.11";"3.36";"17.48";"0.05";"0.69";"9.89";"0.01";"11.35";"27.15"
"2023*";"Total";"Leisure";"1.12";"11.91";"33.59";"0.25";"21.13";"29.21";"0.16";"24.20";"32.65";"0.02";"59.98";"62.43";"0.03";"8.65";"29.31";"0.27";"5.20";"31.65";"0.37";"2.42";"36.41";"0.02";"15.77";"43.95"
"2023*";"Total";"Other";"0.46";"10.67";"18.86";"0.21";"15.06";"21.39";"0.04";"17.35";"24.71";"0.01";"56.33";"56.12";"0.01";"7.19";"25.74";"0.10";"2.33";"12.85";"0.07";"0.78";"10.68";"0.01";"15.37";"25.60"
"Source: CBS"
