"Mobility trend; per stage, modes of travel, purposes of travel, age and sex"
"Sex: Total male and female"
"Margins: Value"
"";"";""
"";"";"Modes of travel";"Total";"Total";"Total";"Car as driver";"Car as driver";"Car as driver";"Car as passenger";"Car as passenger";"Car as passenger";"Train";"Train";"Train";"Bus/metro";"Bus/metro";"Bus/metro";"Bike";"Bike";"Bike";"Walking";"Walking";"Walking";"Other";"Other";"Other"
"";"";"Topic";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage"
"Periods";"Age";"Travel motives";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes"
"2014*";"Total";"Total";"3.13";"11.23";"24.07";"0.97";"17.92";"24.84";"0.35";"19.75";"27.81";"0.08";"48.47";"49.73";"0.12";"9.37";"26.59";"0.87";"3.55";"19.94";"0.62";"1.47";"21.35";"0.11";"17.59";"33.37"
"2014*";"Total";"Travel to/from work, (non)-daily commute";"0.62";"15.81";"24.87";"0.26";"24.00";"30.16";"0.02";"21.43";"29.55";"0.03";"41.13";"42.32";"0.04";"9.35";"24.95";"0.16";"3.89";"17.85";"0.07";"0.82";"9.73";"0.04";"21.21";"29.61"
"2014*";"Total";"Shopping, groceries, funshopping.";"0.63";"5.10";"14.36";"0.21";"7.55";"14.75";"0.07";"11.10";"19.30";"0.00";"42.42";"46.49";"0.02";"7.23";"24.23";"0.18";"2.02";"12.00";"0.13";"0.82";"11.98";"0.01";"5.41";"16.03"
"2014*";"Total";"Attending education/courses";"0.29";"7.18";"18.36";"0.01";"25.37";"31.89";"0.02";"8.43";"16.66";"0.01";"38.86";"41.89";"0.03";"11.22";"27.63";"0.14";"3.16";"16.38";"0.06";"0.66";"8.51";"0.01";"14.01";"30.37"
"2014*";"Total";"Leisure";"1.11";"13.07";"32.53";"0.27";"21.27";"29.30";"0.19";"24.45";"32.67";"0.02";"64.03";"65.23";"0.03";"9.48";"29.47";"0.28";"5.04";"30.73";"0.29";"2.26";"33.86";"0.03";"18.48";"48.72"
"2014*";"Total";"Other";"0.48";"11.50";"19.53";"0.22";"15.90";"22.09";"0.05";"18.57";"25.71";"0.01";"62.02";"58.47";"0.01";"7.73";"25.29";"0.11";"2.26";"12.74";"0.07";"0.78";"10.25";"0.02";"18.23";"29.16"
"2015*";"Total";"Total";"3.03";"11.36";"24.14";"0.95";"18.04";"24.84";"0.34";"19.70";"27.62";"0.08";"48.27";"49.46";"0.12";"9.14";"26.43";"0.84";"3.58";"19.98";"0.60";"1.48";"21.69";"0.10";"18.21";"32.82"
"2015*";"Total";"Travel to/from work, (non)-daily commute";"0.61";"15.97";"24.78";"0.25";"24.23";"30.14";"0.02";"21.60";"29.40";"0.03";"41.11";"42.28";"0.04";"9.07";"24.86";"0.16";"3.92";"17.86";"0.07";"0.79";"9.32";"0.04";"21.43";"28.84"
"2015*";"Total";"Shopping, groceries, funshopping.";"0.61";"5.14";"14.48";"0.21";"7.51";"14.79";"0.07";"10.94";"19.28";"0.00";"42.35";"46.38";"0.02";"7.02";"24.03";"0.18";"2.02";"11.95";"0.13";"0.85";"12.43";"0.01";"5.26";"15.85"
"2015*";"Total";"Attending education/courses";"0.29";"7.29";"18.38";"0.02";"25.26";"32.08";"0.02";"8.39";"16.78";"0.02";"38.97";"41.83";"0.03";"10.86";"27.46";"0.13";"3.17";"16.40";"0.06";"0.66";"8.18";"0.01";"13.16";"29.35"
"2015*";"Total";"Leisure";"1.07";"13.16";"32.70";"0.26";"21.44";"29.36";"0.18";"24.57";"32.53";"0.02";"63.64";"64.50";"0.03";"9.38";"29.20";"0.28";"5.04";"30.60";"0.28";"2.28";"34.72";"0.03";"19.24";"48.36"
"2015*";"Total";"Other";"0.45";"11.91";"19.68";"0.21";"16.07";"22.08";"0.05";"18.72";"25.57";"0.01";"61.53";"58.49";"0.01";"7.38";"25.16";"0.10";"2.25";"12.67";"0.06";"0.77";"10.06";"0.01";"21.00";"29.59"
"2016*";"Total";"Total";"2.99";"11.34";"24.10";"0.93";"18.12";"24.92";"0.34";"19.49";"27.58";"0.08";"48.52";"49.57";"0.12";"9.02";"26.31";"0.82";"3.58";"19.92";"0.59";"1.45";"21.50";"0.10";"17.03";"32.21"
"2016*";"Total";"Travel to/from work, (non)-daily commute";"0.61";"15.93";"24.89";"0.25";"24.31";"30.26";"0.02";"21.35";"29.37";"0.03";"41.27";"42.34";"0.04";"9.06";"24.80";"0.16";"3.94";"17.91";"0.07";"0.78";"9.69";"0.04";"20.36";"29.06"
"2016*";"Total";"Shopping, groceries, funshopping.";"0.60";"5.06";"14.20";"0.20";"7.47";"14.70";"0.07";"10.87";"19.22";"0.00";"42.67";"46.71";"0.02";"6.98";"23.99";"0.17";"2.02";"11.85";"0.13";"0.81";"11.55";"0.01";"4.49";"15.10"
