"Mobility trend; per stage, modes of travel, purposes of travel, age and sex"
"Sex: Total male and female"
"Margins: Value"
"";"";""
"";"";"Modes of travel";"Total";"Total";"Total";"Car as driver";"Car as driver";"Car as driver";"Car as passenger";"Car as passenger";"Car as passenger";"Train";"Train";"Train";"Bus/metro";"Bus/metro";"Bus/metro";"Bike";"Bike";"Bike";"Walking";"Walking";"Walking";"Other";"Other";"Other"
"";"";"Topic";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage"
"Periods";"Age";"Travel motives";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes"
"2016*";"50 to 59 years";"Travel to/from work, (non)-daily commute";"0.83";"16.68";"25.74";"0.38";"24.24";"30.23";"0.02";"21.76";"28.70";"0.03";"42.39";"44.29";"0.04";"9.57";"25.44";"0.22";"4.48";"19.06";"0.08";"0.85";"9.93";"0.06";"22.38";"30.97"
"2016*";"60 to 64 years";"Travel to/from work, (non)-daily commute";"0.57";"15.83";"24.97";"0.24";"23.88";"29.70";".";".";".";".";".";".";".";".";".";"0.16";"4.20";"18.55";"0.06";"0.83";"9.91";".";".";"."
"2016*";"65 to 69 years";"Travel to/from work, (non)-daily commute";"0.22";"13.16";"22.83";"0.09";"20.49";"27.14";".";".";".";".";".";".";".";".";".";"0.07";"3.48";"16.92";".";".";".";".";".";"."
"2017*";"18 to 24 years";"Travel to/from work, (non)-daily commute";"0.80";"12.23";"22.15";"0.24";"20.72";"27.64";"0.04";"18.65";"27.98";"0.05";"37.40";"40.13";"0.08";"8.69";"24.78";"0.22";"3.31";"16.45";"0.12";"0.73";"9.61";".";".";"."
"2017*";"25 to 29 years";"Travel to/from work, (non)-daily commute";"1.07";"16.84";"25.43";"0.42";"26.36";"31.86";".";".";".";"0.08";"41.34";"41.62";"0.09";"8.29";"23.82";"0.25";"3.73";"17.73";"0.16";"0.77";"10.03";".";".";"."
"2017*";"30 to 39 years";"Travel to/from work, (non)-daily commute";"0.94";"17.83";"26.32";"0.43";"25.88";"31.49";"0.02";"24.91";"32.47";"0.06";"41.48";"42.00";"0.06";"8.28";"24.00";"0.21";"4.09";"18.66";"0.12";"0.81";"10.27";"0.05";"24.04";"31.39"
"2017*";"40 to 49 years";"Travel to/from work, (non)-daily commute";"0.90";"17.67";"26.20";"0.44";"24.97";"30.65";"0.02";"22.66";"30.49";"0.04";"41.60";"42.40";"0.05";"8.76";"24.59";"0.21";"4.35";"18.92";"0.09";"0.87";"10.60";"0.06";"24.65";"31.27"
"2017*";"50 to 59 years";"Travel to/from work, (non)-daily commute";"0.84";"17.03";"26.03";"0.39";"24.52";"30.38";"0.02";"22.04";"28.72";"0.03";"42.04";"44.21";"0.04";"9.16";"25.35";"0.22";"4.55";"19.30";"0.08";"0.89";"10.52";"0.06";"24.46";"32.24"
"2017*";"60 to 64 years";"Travel to/from work, (non)-daily commute";"0.60";"16.19";"25.27";"0.26";"24.19";"29.86";".";".";".";".";".";".";".";".";".";"0.17";"4.28";"18.79";"0.06";"0.87";"10.49";".";".";"."
"2017*";"65 to 69 years";"Travel to/from work, (non)-daily commute";"0.23";"13.39";"23.05";"0.10";"20.71";"27.30";".";".";".";".";".";".";".";".";".";"0.07";"3.55";"17.10";".";".";".";".";".";"."
"2018*";"18 to 24 years";"Travel to/from work, (non)-daily commute";"0.82";"12.17";"21.89";"0.24";"20.92";"27.60";"0.04";"18.65";"27.81";"0.05";"37.43";"40.31";"0.08";"8.57";"24.77";"0.23";"3.32";"16.37";"0.13";"0.70";"8.89";"0.05";"15.52";"25.65"
"2018*";"25 to 29 years";"Travel to/from work, (non)-daily commute";"1.11";"16.84";"25.19";"0.43";"26.65";"31.83";"0.03";"23.54";"31.40";"0.09";"41.38";"41.81";"0.09";"8.18";"23.78";"0.26";"3.74";"17.66";"0.17";"0.73";"9.29";"0.05";"22.99";"30.44"
"2018*";"30 to 39 years";"Travel to/from work, (non)-daily commute";"0.98";"17.85";"26.08";"0.44";"26.20";"31.45";"0.02";"24.98";"32.19";"0.06";"41.53";"42.17";"0.06";"8.17";"23.97";"0.22";"4.12";"18.61";"0.12";"0.77";"9.50";"0.05";"24.55";"31.39"
"2018*";"40 to 49 years";"Travel to/from work, (non)-daily commute";"0.94";"17.70";"25.97";"0.45";"25.30";"30.60";"0.02";"22.81";"30.25";"0.04";"41.61";"42.55";"0.05";"8.65";"24.57";"0.22";"4.38";"18.89";"0.10";"0.82";"9.80";"0.06";"25.26";"31.31"
"2018*";"50 to 59 years";"Travel to/from work, (non)-daily commute";"0.88";"17.16";"25.84";"0.41";"24.86";"30.32";"0.02";"22.32";"28.64";"0.03";"42.04";"44.35";"0.04";"9.04";"25.33";"0.23";"4.59";"19.25";"0.09";"0.85";"9.70";"0.06";"25.06";"32.27"
"2018*";"60 to 64 years";"Travel to/from work, (non)-daily commute";"0.65";"16.29";"25.07";"0.28";"24.54";"29.82";"0.02";"22.27";"28.13";"0.02";"41.69";"44.12";"0.03";"9.11";"25.99";"0.18";"4.33";"18.76";"0.07";"0.83";"9.66";"0.04";"23.46";"30.96"
"2018*";"65 to 69 years";"Travel to/from work, (non)-daily commute";"0.26";"13.33";"22.75";"0.11";"20.97";"27.28";".";".";".";".";".";".";".";".";".";"0.08";"3.59";"17.06";"0.03";"0.83";"10.56";".";".";"."
"2019*";"18 to 24 years";"Travel to/from work, (non)-daily commute";"0.77";"12.04";"21.81";"0.22";"20.96";"27.62";"0.03";"18.42";"27.63";"0.05";"37.45";"40.37";"0.08";"8.45";"24.59";"0.22";"3.33";"16.34";"0.12";"0.71";"9.06";"0.05";"14.61";"24.83"
"2019*";"25 to 29 years";"Travel to/from work, (non)-daily commute";"1.05";"16.79";"25.16";"0.40";"26.76";"31.87";"0.03";"23.49";"31.31";"0.09";"41.41";"41.86";"0.08";"8.06";"23.59";"0.25";"3.76";"17.65";"0.16";"0.75";"9.47";"0.05";"21.59";"29.44"
"2019*";"30 to 39 years";"Travel to/from work, (non)-daily commute";"0.93";"17.81";"26.02";"0.41";"26.35";"31.49";"0.02";"24.91";"32.05";"0.06";"41.55";"42.19";"0.06";"8.05";"23.78";"0.21";"4.15";"18.62";"0.12";"0.78";"9.69";"0.05";"23.19";"30.42"
"2019*";"40 to 49 years";"Travel to/from work, (non)-daily commute";"0.90";"17.73";"25.96";"0.43";"25.47";"30.63";"0.02";"22.84";"30.16";"0.04";"41.63";"42.57";"0.04";"8.54";"24.39";"0.21";"4.42";"18.91";"0.09";"0.84";"10.00";"0.06";"23.81";"30.30"
"2019*";"50 to 59 years";"Travel to/from work, (non)-daily commute";"0.85";"17.20";"25.84";"0.39";"25.07";"30.37";"0.02";"22.18";"28.45";"0.04";"42.03";"44.35";"0.04";"8.92";"25.14";"0.22";"4.65";"19.28";"0.08";"0.86";"9.85";"0.06";"23.63";"31.21"
"2019*";"60 to 64 years";"Travel to/from work, (non)-daily commute";"0.63";"16.45";"25.14";"0.28";"24.80";"29.88";".";".";".";"0.02";"41.69";"44.14";"0.03";"8.98";"25.79";"0.18";"4.40";"18.80";"0.06";"0.84";"9.80";"0.04";"22.11";"29.85"
"2019*";"65 to 69 years";"Travel to/from work, (non)-daily commute";"0.24";"13.35";"22.77";"0.10";"21.14";"27.34";".";".";".";".";".";".";".";".";".";"0.08";"3.64";"17.06";"0.03";"0.84";"10.72";".";".";"."
"2020*";"18 to 24 years";"Travel to/from work, (non)-daily commute";"0.55";"10.97";"20.55";"0.19";"18.69";"25.05";"0.03";"14.91";"24.27";"0.02";"35.66";"38.97";"0.04";"7.88";"24.00";"0.16";"3.32";"16.38";"0.07";"0.68";"8.79";"0.03";"10.35";"21.03"
"2020*";"25 to 29 years";"Travel to/from work, (non)-daily commute";"0.68";"15.67";"23.79";"0.31";"23.96";"28.55";".";".";".";"0.04";"38.82";"40.23";"0.04";"7.56";"23.19";"0.16";"3.77";"17.81";"0.08";"0.73";"9.30";"0.04";"15.76";"24.77"
"2020*";"30 to 39 years";"Travel to/from work, (non)-daily commute";"0.59";"16.31";"24.33";"0.30";"23.38";"28.12";"0.01";"19.63";"27.44";"0.02";"38.70";"40.42";"0.03";"7.55";"23.44";"0.13";"4.18";"18.91";"0.06";"0.75";"9.47";"0.04";"17.37";"25.73"
"2020*";"40 to 49 years";"Travel to/from work, (non)-daily commute";"0.59";"16.04";"24.19";"0.31";"22.54";"27.41";"0.01";"17.84";"25.73";"0.02";"39.20";"41.15";"0.02";"8.07";"24.05";"0.14";"4.47";"19.31";"0.05";"0.81";"9.80";"0.04";"18.12";"25.74"
"2020*";"50 to 59 years";"Travel to/from work, (non)-daily commute";"0.59";"15.81";"24.20";"0.31";"22.27";"27.34";"0.01";"17.22";"24.61";"0.01";"39.49";"42.86";"0.02";"8.49";"24.84";"0.15";"4.63";"19.54";"0.04";"0.83";"9.51";"0.05";"18.31";"26.47"
"2020*";"60 to 64 years";"Travel to/from work, (non)-daily commute";"0.45";"15.11";"23.54";"0.22";"22.42";"27.12";".";".";".";".";".";".";".";".";".";"0.13";"4.43";"19.09";"0.04";"0.80";"9.38";"0.04";"17.61";"25.48"
"2020*";"65 to 69 years";"Travel to/from work, (non)-daily commute";"0.20";"12.27";"21.36";"0.08";"19.28";"25.08";".";".";".";".";".";".";".";".";".";"0.06";"3.65";"17.29";".";".";".";".";".";"."
