Year,Train_travel_time_thousand_hours_per_day,BusMetro_travel_time_thousand_hours_per_day
2014,356.10775524,279.92717369999997
2015,357.28134764,280.10136557333334
2016,359.4479704,280.7214506666667
2017,360.84683537499996,281.38935864666666
2018,364.41079164,282.68610207999996
2019,366.90032049,282.16011457999997
