Year,Train_distance_million_km_per_day,BusMetro_distance_million_km_per_day
2014,20.7656596971,6.294154086
2015,20.843665375799997,6.1315833928000005
2016,21.021848472,6.153233088
2017,20.9743824453,5.910201422
2018,21.117270344399998,5.869058294399999
2019,21.2622451389,5.8206324984
